name,countrycode,population
Oranjestad,ABW,29034
Herat,AFG,186800
Kabul,AFG,1780000
Mazar-e-Sharif,AFG,127800
Qandahar,AFG,237500
Benguela,AGO,128300
Huambo,AGO,163100
Lobito,AGO,130000
Luanda,AGO,2022000
Namibe,AGO,118200
South Hill,AIA,961
The Valley,AIA,595
Tirana,ALB,270000
Andorra la Vella,AND,21189
Willemstad,ANT,2345
Abu Dhabi,ARE,398695
Ajman,ARE,114395
al-Ayn,ARE,225970
Dubai,ARE,669181
Sharja,ARE,320095
Almirante Brown,ARG,538918
Avellaneda,ARG,353046
Bahía Blanca,ARG,239810
Berazategui,ARG,276916
Buenos Aires,ARG,2982146
Comodoro Rivadavia,ARG,124104
Concordia,ARG,116485
Córdoba,ARG,1157507
Corrientes,ARG,258103
Escobar,ARG,116675
Esteban Echeverría,ARG,235760
Ezeiza,ARG,99578
Florencio Varela,ARG,315432
Formosa,ARG,147636
General San Martín,ARG,422542
Godoy Cruz,ARG,206998
Guaymallén,ARG,200595
Hurlingham,ARG,170028
Ituzaingó,ARG,158197
José C. Paz,ARG,221754
La Matanza,ARG,1266461
Lanús,ARG,469735
La Plata,ARG,521936
La Rioja,ARG,138117
Las Heras,ARG,145823
Lomas de Zamora,ARG,622013
Malvinas Argentinas,ARG,290335
Mar del Plata,ARG,512880
Mendoza,ARG,123027
Merlo,ARG,463846
Moreno,ARG,356993
Morón,ARG,349246
Neuquén,ARG,167296
Paraná,ARG,207041
Pilar,ARG,113428
Posadas,ARG,201273
Quilmes,ARG,559249
Resistencia,ARG,229212
Río Cuarto,ARG,134355
Rosario,ARG,907718
Salta,ARG,367550
San Fernando,ARG,153036
San Fernando del Valle de Cata,ARG,134935
San Isidro,ARG,306341
San Juan,ARG,119152
San Luis,ARG,110136
San Miguel,ARG,248700
San Miguel de Tucumán,ARG,470809
San Nicolás de los Arroyos,ARG,119302
San Rafael,ARG,94651
San Salvador de Jujuy,ARG,178748
Santa Fé,ARG,353063
Santiago del Estero,ARG,189947
Tandil,ARG,91101
Tigre,ARG,296226
Tres de Febrero,ARG,352311
Vicente López,ARG,288341
Gjumri,ARM,211700
Vanadzor,ARM,172700
Yerevan,ARM,1248700
Fagatogo,ASM,2323
Tafuna,ASM,5200
Saint John´s,ATG,24000
Adelaide,AUS,978100
Brisbane,AUS,1291117
Cairns,AUS,92273
Canberra,AUS,322723
Central Coast,AUS,227657
Geelong,AUS,125382
Gold Coast,AUS,311932
Hobart,AUS,126118
Melbourne,AUS,2865329
Newcastle,AUS,270324
Perth,AUS,1096829
Sydney,AUS,3276207
Townsville,AUS,109914
Wollongong,AUS,219761
Graz,AUT,240967
Innsbruck,AUT,111752
Klagenfurt,AUT,91141
Linz,AUT,188022
Salzburg,AUT,144247
Wien,AUT,1608144
Baku,AZE,1787800
Gäncä,AZE,299300
Mingäçevir,AZE,93900
Sumqayit,AZE,283000
Bujumbura,BDI,300000
Antwerpen,BEL,446525
Brugge,BEL,116246
Bruxelles [Brussel],BEL,133859
Charleroi,BEL,200827
Gent,BEL,224180
Liège,BEL,185639
Mons,BEL,90935
Namur,BEL,105419
Schaerbeek,BEL,105692
Cotonou,BEN,536827
Djougou,BEN,134099
Parakou,BEN,103577
Porto-Novo,BEN,194000
Bobo-Dioulasso,BFA,300000
Koudougou,BFA,105000
Ouagadougou,BFA,824000
Barisal,BGD,170232
Bogra,BGD,120170
Brahmanbaria,BGD,109032
Chittagong,BGD,1392860
Comilla,BGD,135313
Dhaka,BGD,3612850
Dinajpur,BGD,127815
Gazipur,BGD,96717
Jamalpur,BGD,103556
Jessore,BGD,139710
Khulna,BGD,663340
Mymensingh,BGD,188713
Naogaon,BGD,101266
Narayanganj,BGD,202134
Narsinghdi,BGD,98342
Nawabganj,BGD,130577
Pabna,BGD,103277
Rajshahi,BGD,294056
Rangpur,BGD,191398
Saidpur,BGD,96777
Sirajganj,BGD,99669
Sylhet,BGD,117396
Tangail,BGD,106004
Tungi,BGD,168702
Burgas,BGR,195255
Dobric,BGR,100399
Pleven,BGR,121952
Plovdiv,BGR,342584
Ruse,BGR,166467
Sliven,BGR,105530
Sofija,BGR,1122302
Stara Zagora,BGR,147939
umen,BGR,94686
Varna,BGR,299801
